48,56,0,10,
4,59,0,17,
18,66,2,19,
22,3,1,21,
34,16,12,23,
42,19,3,24,
45,23,16,26,
50,27,3,28,
55,31,2,30,
59,37,1,3,
62,40,7,10,
6,46,11,15,
0,1,2,25,
9,2,10,30,
13,7,23,3,
18,12,1,5,
23,5,19,7,
2,2,23,10,
6,15,1,12,
12,1,18,35,
16,14,21,4,
27,20,42,4,
7,28,49,4,
30,42,1,4,
41,7,6,4,
2,9,1,4,
20,14,11,8,
32,19,6,3,
2,33,4,9,
3,38,9,12,
11,42,18,14,
1,46,29,16,
15,50,33,17,
24,2,47,19,
1,6,1,21,
2,4,6,23,
14,3,14,24,
20,9,19,7,
26,16,23,13,
30,19,4,22,
1,32,8,27,
5,36,15,29,
12,40,19,31,
33,42,2,32,
37,46,8,33,
43,50,16,34,
2,54,23,36,
5,11,25,125,
2,19,35,1,
7,28,46,9,
9,43,50,17,
14,51,54,22,
22,1,58,44,
27,4,8,48,
32,2,1,52,
2,14,7,56,
13,0,2,2,
21,2,5,9,
25,13,20,13,
4,19,26,2,
27,22,33,3,
36,1,37,47,
7,4,42,56,
20,2,8,64,
30,1,9,67,
33,3,21,6,
3,11,36,1,
2,10,45,7,
16,21,49,10,
24,33,64,14,
28,51,67,18,
38,58,75,21,
2,61,80,24,
19,1,84,28,
1,11,4,31,
7,17,3,35,
18,21,4,2,
1,25,4,2,
14,1,2,9,
21,16,8,16,
1,4,13,22,
17,13,5,25,
22,37,19,3,
1,1,24,11,
6,3,28,17,
20,12,32,19,
24,18,36,28,
46,22,40,33,
54,27,43,6,
3,31,45,11,
29,1,47,13,
39,5,9,10,
44,9,16,13,
49,14,29,19,
54,19,34,26,
1,3,3,29,
2,7,10,40,
5,19,5,43,
1,32,4,47,
24,36,5,50,
32,41,1,54,
